item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kJ
0000001949,Pano Bułka tarta Pszenna 450 g,piekarnia,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,72 g,4.4 g,4.2 g,11 g,1.8 g,
0000005365,Bułka z dynią BIO 70 g,piekarnia,Y,w porcji 100 g,329 kcal,7.6 g,1.5 g,52 g,1.3 g,,11 g,1.5 g,1387 kj
0000005412,Bułka z serem żółtym 70 g,piekarnia,Y,w porcji 100 g,286 kcal,5.1 g,3 g,48 g,0.7 g,,11 g,1.5 g,1208 kj
0000009609,"Bagietka duża, 405 g",piekarnia,Y,w porcji 100 g,262 kcal,1.4 g,0.3 g,52 g,2 g,2.4 g,9 g,1.4 g,1109 kj
0000002774,Ciastko Duet z owocami leśnymi 115 g,piekarnia,Y,w porcji 100 g,283 kcal,13 g,7.8 g,37 g,12 g,1.6 g,4.9 g,0.8 g,1185 kj
0000006870,Pizza z kurczakiem i grillowanymi warzywami 145 g,piekarnia,Y,w porcji 100 g,248 kcal,5.68 g,2.24 g,36.3 g,3.37 g,,10.37 g,1.98 g,1040 kj
0000009829,Przekąska kurczak z curry 95 g,piekarnia,Y,w porcji 100 g,243 kcal,7.97 g,0.83 g,23.08 g,2.35 g,,8.91 g,1.42 g,1017 kj
0000008790,Bułka śniadaniowa 80 g,piekarnia,Y,w porcji 100 g,273 kcal,2.1 g,0.4 g,53 g,4.8 g,2.9 g,8.8 g,1.4 g,1158 kj
0000000866,Pano Bułeczki śniadaniowe 400 g,piekarnia,Y,w porcji 100 g,348 kcal,11 g,1.4 g,53 g,15 g,2.2 g,8.2 g,0.7 g,
0000006417,7DAYS MINI COCOA 185 g,piekarnia,N,,,,,,,,,,
0000004823,Hot dog z berlinką i sosem 1szt.,piekarnia,Y,w porcji 100 g,369 kcal,25 g,8.9 g,27 g,3.8 g,,9 g,1.9 g,
0000009559,"Turecki borek ze szpinakiem i serem, 75 g",piekarnia,Y,w porcji 100 g,287 kcal,16 g,7.1 g,28 g,2.4 g,2.2 g,6.2 g,0.98 g,1197 kj
0000004690,Chleb całe ziarno 300 g,piekarnia,Y,w porcji 100 g,333 kcal,16 g,1.5 g,34 g,2.5 g,7.8 g,12 g,1.3 g,1393 kj
0000008625,"Chleb z suszonymi pomidorami i oliwkami, 350 g",piekarnia,Y,w porcji 100 g,245 kcal,3.2 g,0.6 g,44 g,2.5 g,2.9 g,8.7 g,1.6 g,1038 kj
0000007204,7 Days Rogalik z nadzieniem kakaowym 60 g,piekarnia,Y,w porcji 100 g,452 kcal,28 g,14 g,42 g,17 g,,7 g,0.42 g,
0000004628,Pano Chleb wieloziarnisty Złoty łan z dodatkiem naturalnego zakwasu żytniego 400 g,piekarnia,Y,w porcji 100 g,277 kcal,4.6 g,0.6 g,46 g,2.3 g,6.2 g,9.8 g,1.3 g,
0000009605,Bio Chleb żytni 100% z płatkami żytnimi 450 g,piekarnia,Y,w porcji 100 g,234 kcal,0.8 g,0.2 g,49 g,3.8 g,6.1 g,4.7 g,1.4 g,991 kj
0000015363,PANO Bułki do burgerów Master 320 g,piekarnia,Y,w porcji 100 g,262 kcal,3.9 g,0.7 g,45 g,5.1 g,3.3 g,9.9 g,1.1 g,
0000005895,Pano Chleb żytni 100% pełnoziarnisty 300 g,piekarnia,Y,w porcji 100 g,198 kcal,1.4 g,0.2 g,36 g,3 g,9.3 g,5.6 g,1.1 g,
0000003557,Sonko Pieczywo chrupkie lekkie 7 ziaren 170 g,piekarnia,Y,w porcji 100 g,363 kcal,0.9 g,0.2 g,77.6 g,0.5 g,6 g,8.2 g,1 g,
0000001666,Pano Bułki pszenne hamburgerowe z sezamem 212 g,piekarnia,Y,w porcji 100 g,263 kcal,2.8 g,0.4 g,49 g,6.4 g,1.9 g,9.8 g,1.1 g,
0000002077,Pano Hot dog pszenny z dodatkiem mąki graham 240 g,piekarnia,Y,w porcji 100 g,283 kcal,3.2 g,0.5 g,52 g,4.8 g,4.5 g,9.7 g,0.91 g,
0000008728,Ciacho z kruszonką 250 g,piekarnia,Y,w porcji 100 g,319 kcal,9.9 g,2.7 g,51 g,11 g,1.6 g,7 g,0.67 g,1343 kj
0000004872,Chleb rodzinny 450 g,piekarnia,Y,w porcji 100 g,251 kcal,1 g,0.3 g,52 g,1.9 g,2.5 g,8.2 g,1.5 g,
0000005251,Bułka poranna fitness 80 g,piekarnia,Y,w porcji 100 g,292 kcal,6.7 g,0.8 g,50 g,5.3 g,6 g,11 g,1.2 g,1230 kj
0000007965,Pano Wafle kukurydziane z ziołami prowansalskimi 105 g,piekarnia,Y,w porcji 100 g,380 kcal,4.2 g,0.6 g,71 g,1.6 g,9 g,10 g,0.53 g,
0000006487,Chleb z koszyczka 550 g,piekarnia,Y,w porcji 100 g,256 kcal,1.3 g,0.3 g,51 g,1.8 g,,8.2 g,1.4 g,1083 kj
0000005200,Bułka codzienna 100 g,piekarnia,Y,w porcji 100 g,272 kcal,1.9 g,0.3 g,53 g,2.1 g,2.7 g,,1.8 g,1152 kj
0000010359,"Drożdżówka z budyniem, 120 g",piekarnia,Y,w porcji 100 g,343 kcal,12 g,5.5 g,52 g,18 g,1.3 g,6.2 g,0.67 g,1444 kj
0000004180,Bułka paryska 240 g,piekarnia,Y,w porcji 100 g,266 kcal,1.1 g,0.3 g,53 g,1.9 g,2.5 g,9.7 g,1.6 g,1129 kj
0000007370,Chleb nowodworski z maślanką 450 g,piekarnia,Y,w porcji 100 g,247 kcal,1.6 g,0.4 g,47 g,2.2 g,4.1 g,8.8 g,1.5 g,1045 kj
0000008063,Chleb śniadaniowy 500 g,piekarnia,Y,w porcji 100 g,242 kcal,1 g,0.3 g,50 g,1.3 g,,7 g,1.5 g,1027 kj
