item_id,item_name,item_type,nutrition_flag
0000010062,Limonka sztuka,owoce,N
0000010193,"Borówka amerykańska, opak. 500 g",owoce,N
0000010102,"Physalis, opak. 100 g",owoce,N
0000010124,Gruszka Abate Fetel kg,owoce,N
0000010304,Jabłko Polskie Idared kg,owoce,N
0000010087,"Jeżyna, opak. 125 g",owoce,N
0000011489,Kokos świeży 1 szt.,owoce,N
0000010475,Polska gruszka paten kg,owoce,N
0000010348,"Jabłko Kujawskie, 1 szt",owoce,N
0000010225,Mango kg,owoce,N
0000010469,Brzoskwinia Paraguayo 1 szt.,owoce,N
0000010674,"Melon Little Planet, 1 szt. ok. 2 kg",owoce,N
0000010313,Jabłko Lubelskie kg,owoce,N
0000010851,"Melon zielony, 1 szt.",owoce,N
