item_id,item_name,item_link,item_image,item_type
0000004725,"Gerber Jabłka, mango i brzoskwinie z twarożkiem po 6. miesiącu 190g",https://zakupy.biedronka.pl/gerber-gerber-jablka-mango-i-brzoskwinie-z-twarozkiem-po-6.-miesiacu-190g-0000004725.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc1013ba3/images/hi-res/D917FDA1D5117C734BBBBCB496F29ACA.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000013582,"HiPP BIO od pokoleń, Zupka koperkowa z ryżem i indykiem, po 7. m-cu, 190 g",https://zakupy.biedronka.pl/hipp-hipp-bio-od-pokolen-zupka-koperkowa-z-ryzem-i-indykiem-po-7.-m-cu-190-g-0000013582.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc51eb843/images/hi-res/DF91E9BE2E0FADC673BB4477F2073EDF.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000006649,Kubuś Baby Sok 100% po 4 miesiącu jabłko 300 ml,https://zakupy.biedronka.pl/kubus-kubus-baby-sok-100%25-po-4-miesiacu-jablko-300-ml-0000006649.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwdf74500b/images/hi-res/292ABC46AC9E91A4237ECA338C85F294.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000017036,"HiPP BIO od pokoleń, Kaszka manna z jabłkami i czerwonymi owocami, po 9. m-cu, 200 g",https://zakupy.biedronka.pl/hipp-hipp-bio-od-pokolen-kaszka-manna-z-jablkami-i-czerwonymi-owocami-po-9.-m-cu-200-g-0000017036.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw077e525a/images/hi-res/0141388FF6EBE0B39BF9A4E774F9A07B.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000016237,Gerber Kaszka bezmleczna ryżowa morela po 6. miesiącu 160 g,https://zakupy.biedronka.pl/gerber-gerber-kaszka-bezmleczna-ryzowa-morela-po-6.-miesiacu-160-g-0000016237.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw36c0b33c/images/hi-res/E67DD770D22BFAE1A8E57BCA9CF4A7C1.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000001601,Bobo Frut Nektar Jabłko morela po 6 miesiącu 300 ml,https://zakupy.biedronka.pl/bobo-frut-bobo-frut-nektar-jablko-morela-po-6-miesiacu-300-ml-0000001601.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2a3c6d00/images/hi-res/7A16DA818B067B0435D9E1051558F9CB.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000011741,BoboVita Kaszka mleczno-zbożowa kakao po 12 miesiącu 330 g,https://zakupy.biedronka.pl/bobovita-bobovita-kaszka-mleczno-zbozowa-kakao-po-12-miesiacu-330-g-0000011741.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbea37d35/images/hi-res/D9BA5C2227C7A194F8512637B4DCD3B2.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000014104,HiPP BIO Musli wielozbożowe banany-jabłka-śliwki od 10. miesiąca 200 g,https://zakupy.biedronka.pl/hipp-hipp-bio-musli-wielozbozowe-banany-jablka-sliwki-od-10.-miesiaca-200-g-0000014104.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw4dea3ccb/images/hi-res/330527FF092A0F43D178457ADAB512F3.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000002507,BoboVita Makaron z tuńczykiem i warzywami 1-3 lata 250 g,https://zakupy.biedronka.pl/bobovita-bobovita-makaron-z-tunczykiem-i-warzywami-1-3-lata-250-g-0000002507.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw63596081/images/hi-res/FB8FE3E64DE398E0CCBD4651D153EB53.jpg?sw=270&sh=270&sm=fit,dla-dzieci
0000016236,Gerber Kaszka bezmleczna ryżowo-owsiana jabłko śliwka po 6. miesiącu 160 g,https://zakupy.biedronka.pl/gerber-gerber-kaszka-bezmleczna-ryzowo-owsiana-jablko-sliwka-po-6.-miesiacu-160-g-0000016236.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa2d185ec/images/hi-res/7609AA4ADC1A59F1F5564704F3880386.jpg?sw=270&sh=270&sm=fit,dla-dzieci
